Week,Port,Supplier,PO,Container,Vessel,QualityComment,Score,Defects
1,ANVERS,LAS BRISAS,2200396,HLBU9321027,CAPE ALTIUS V,"Mixed coloration for Kolor (50% of fruits are color 2)
1 pallets size 6 kolor is affected by external overmaturity 
10% to 15% of fruits are affected by base molds 
We make reserve ",2,Undercoloration
1,ANVERS,LAS BRISAS,2200402,HLBU6128478,CAPE ALTIUS V,"Mould on cut ends: ± 20-40% (varying from a light to
moderate extent) occasional signs of overmaturity, translucency, claims to be expected.",2,"Translucency, Mould, Overmaturity"
1,ANVERS,LAS BRISAS,2200391,HLBU9640847,CAPE ALTIUS V,Our customer is opening a claim due to presence of 30% of molds ,2,Mould
1,ANVERS,PROBIO,2200411,HLBU9341960,CAPE ALTIUS V,"Presence of elevated coloration and occasional old aspect, brown leaves, underweights noted",3,"Overmaturity, Brown leaves"
1,ANVERS,NORTENAS,2200387,HLBU9597484,CAPE ALTIUS V,Presence of occasional lower tier compression and occasional light peduncle mold.,3,Mould
1,ANVERS,NORTENAS,2200388,HLBU6140299,CAPE ALTIUS V,"Presence of occasional mixed coloration, bruising, occasional carton compression and isolated low brix noted.",3,"Overmaturity, Bruising"
1,ANVERS,LAS BRISAS,2200403,HLBU9397613,CAPE ALTIUS V,"Presence of underweights
Some pallets are affected by base molds (Max 10%)",1,"Mould, Underweights"
1,ANVERS,LAS BRISAS,2200406,HLBU9805119,CAPE ALTIUS V,"We claim 
1 pallets size 8 kolor arrived totally overipe 
1 pallets size 5 kolor arrived with severe internal translucency 
1 pallets size 5 Classic for high pitting 

Average of 20% of fruits are affected by base molds 
",1,"Translucency, Mould, Overmaturity, Dehydration/Pitting"
1,ANVERS,LAS BRISAS,2200395,HLBU9620178,CAPE ALTIUS V,"We claim 4 pallets for high external coloration (overmaturity for some fruits)
Base molds are observed ",2,"Mould, Overmaturity"
1,ANVERS,LAS BRISAS,2200404,HLBU9535060,CAPE ALTIUS V,"We make reserve on 2 pallets size 7 due to external ovarmaturity 
15% to 55% of fruits are affected by base molds 
Presence pf underweights ",2,"Mould, Overmaturity, Underweights"
1,ANVERS,LAS BRISAS,2200405,HLBU9393393,CAPE ALTIUS V,"We make resevre 
1 pallets size 9 arrived with overmaturity 
Average of 15% of fruits inspected are affected by base molds ",2,"Mould, Overmaturity"
1,DUNKERQUE,AGRO INDUSTRIAL,565401,CGMU5626242,FORT FLEUR D'EPEE,5 pallets highly affected by overmaturity and old aspect we claim these pallets the rest is good,1,Overmaturity
1,DUNKERQUE,LAS BRISAS,565386,AMCU9376584,FORT FLEUR D'EPEE,Direct customer - report will be sent later on ,4,
1,DUNKERQUE,ACON,565391,SEKU9132784,FORT FLEUR D'EPEE,Direct customer - report will be sent later on ,4,
1,DUNKERQUE,TDV,565404,TTNU8877144,FORT FLEUR D'EPEE,Direct customer - report will be sent later on ,4,
1,DUNKERQUE,TDV,565405,FBIU5211730,FORT FLEUR D'EPEE,Direct customer - report will be sent later on ,4,
1,DUNKERQUE,ACON,565390,CGMU5615818,FORT FLEUR D'EPEE,"Frequent presence of brown leaves, occasional mold formation, 160 boxes rejected due to these defects.",2,"Mould, Brown leaves"
1,DUNKERQUE,PARISMINA,565396,CGMU5091900,FORT FLEUR D'EPEE,"Frequent presence of bruising, elevated coloration and occasional translucency, we will make reseves on 2 pallets",3,"Translucency, Overmaturity, Bruising"
1,DUNKERQUE,ACON,565392,CGMU5164268,FORT FLEUR D'EPEE,"Frequent presence of mixed coloration, overmaturity and pitting, we claim 6 pallets that are highly affected",1,"Overmaturity, Dehydration/Pitting"
1,DUNKERQUE,ACON,565393,TEMU9811724,FORT FLEUR D'EPEE,"Frequent presence of mold formation on crowns and brown leaves, one pallet noted with overmaturity signs we make reserve",1,"Mould, Overmaturity, Brown leaves"
1,DUNKERQUE,LAS BRISAS,565387,BMOU9898150,FORT FLEUR D'EPEE,"Frequent presence of overmaturity, pitting and occasional translucency, we claim 4 pallets",1,"Translucency, Overmaturity, Dehydration/Pitting"
1,DUNKERQUE,NORTENAS,565389,BMOU9765158,FORT FLEUR D'EPEE,Good quality ,4,
1,DUNKERQUE,PARISMINA,565397,AMCU9349803,FORT FLEUR D'EPEE,Good quality in general,4,
1,DUNKERQUE,AGRO INDUSTRIAL,565399,AMCU9360248,FORT FLEUR D'EPEE,Good quality in general,4,
1,DUNKERQUE,AGRO INDUSTRIAL,565400,TTNU8959601,FORT FLEUR D'EPEE,good quality in general,4,
1,DUNKERQUE,TDV,565406,CGMU9333582,FORT FLEUR D'EPEE,Good quality in general,4,
1,DUNKERQUE,TDV,565407,TLLU1061542,FORT FLEUR D'EPEE,Good quality overall,4,
1,DUNKERQUE,PARISMINA,565398,TEMU9844158,FORT FLEUR D'EPEE,"Occasional presence of elevated coloration, pitting and isolated brown leaves",3,"Overmaturity, Dehydration/Pitting"
1,DUNKERQUE,TDV,565408,CGMU5145967,FORT FLEUR D'EPEE,Presence of occasional undercoloration,4,
1,DUNKERQUE,TDV,565403,SEKU9134344,FORT FLEUR D'EPEE,"Some pallets arrived titlted with compressed boxes, good quality overall",4,
1,DUNKERQUE,UPALA,565395,CGMU5623135,FORT FLEUR D'EPEE,We make reserve on 4 pallets size 8 and 1 10/15 for high coloration and ppitting. The remaining 16 pallets are good,2,"Overmaturity, Dehydration/Pitting"
1,DUNKERQUE,UPALA,565394,SEKU9133604,FORT FLEUR D'EPEE,We make reserve on 6 pallets for presence of high coloration and pittings . The rest is good,1,"Overmaturity, Dehydration/Pitting"
1,ANVERS,AGRO INDUSTRIAL,2200413,MSDU9821732,MSC ARUSHI,Direct container - report will be sent later on,4,
1,ANVERS,AGRO INDUSTRIAL,2200416,BMOU 9288939,MSC ARUSHI,"Frequent presence of translucency, occasional mold formation, underweights noted",3,"Translucency, Mould, Underweights"
1,ANVERS,AGRO INDUSTRIAL,2200414,MSDU9001693,MSC ARUSHI,Good quality in general,4,
1,ANVERS,AGRO INDUSTRIAL,2200415,SEGU9779204,MSC ARUSHI,"Isolated presence of brown leaves, mold and underweights noted",3,"Mould, Brown leaves, Underweights"
1,ANVERS,PARISMINA,2200472,GESU9464120,MSC ARUSHI,Isolated presence of mold and translucency occasional underweights,3,Translucency
1,ANVERS,PARISMINA,2200470,SZLU9249466,MSC ARUSHI,"Occasional mixed coloration, isolated mold formation ",4,
1,ANVERS,PARISMINA,2200471,CXRU1561850,MSC ARUSHI,"Occasional mixed coloration, isolated mold formation ",4,
1,ANVERS,PARISMINA,2200469,TTNU8371238,MSC ARUSHI,We claim 3 pallets kolor arrived overripe with frequent signs of dehydration and decay,2,"Overmaturity, Dehydration/Pitting"
2,ANVERS,UPALA,2200434,HLXU8776179,ACHELOOS,Direct customer - report will be sent later on ,4,
2,ANVERS,NORTENAS,2200445,HLBU9197071,ACHELOOS,Direct customer - report will be sent later on ,4,
2,ANVERS,NORTENAS,2200446,HLBU9396330,ACHELOOS,Direct customer - report will be sent later on ,4,
2,ANVERS,ACON,2200458,HLBU9473457,ACHELOOS,Direct customer - report will be sent later on ,4,
2,ANVERS,ACON,2200461,UACU4757854,ACHELOOS,Direct customer - report will be sent later on ,4,
2,ANVERS,LAS BRISAS,2200436,CAIU5667298,ACHELOOS,"Frequent presence of base browning, occasional light mold formation",3,Mould
2,ANVERS,LAS BRISAS,2200443,UACU4733889,ACHELOOS,"Frequent presence of mold formation, signs of dehydration, pitting, internal damage and translucency, presence of some very high yellow-coloured piece and some different of colour between boxes.",3,"Translucency, Mould, Overmaturity, Dehydration/Pitting"
2,ANVERS,TDV,2200453,TEMU9837950,ACHELOOS,"Frequent presence of overmaturity, signs of dehydration, pitting and burising noticably on 3 pallets",1,"Overmaturity, Dehydration/Pitting"
2,ANVERS,LAS BRISAS,2200435,CAIU5651250,ACHELOOS,"Frequent presence of signs of dehydration, pitting, light mold formation",3,Dehydration/Pitting
2,ANVERS,LAS BRISAS,2200440,HLBU9387106,ACHELOOS,"Frequent presence of signs of dehydration, pitting, light mold formation",3,Dehydration/Pitting
2,ANVERS,LAS BRISAS,2200439,HLBU9149113,ACHELOOS,Good quality in general,4,
2,ANVERS,LAS BRISAS,2200437,HLBU6136410,ACHELOOS,Isolated presence of mold otherwise good quality in general,4,
2,ANVERS,PCC,2200457,TEMU9834484,ACHELOOS,Occasional presence of brown leaves and isolated mold formation,3,Brown leaves
2,ANVERS,LAS BRISAS,2200438,HLBU6139831,ACHELOOS,"Occasional presence of fruits showing signs of overmaturity, base browning, underweights noted",3,"Overmaturity, Underweights"
2,ANVERS,LAS BRISAS,2200442,SZLU9189201,ACHELOOS,"Occasional presence of mold formation, base browning, translucency and underweights noted",3,"Translucency, Mould"
2,ANVERS,NORTENAS,2200444,SEGU9419358,ACHELOOS,"Occasional presence of mold formation, isolated decay, some pallets arrived tilted with compressed boxes",3,Mould
2,ANVERS,LAS BRISAS,2200441,HLBU9662240,ACHELOOS,"Presence of signs of dehydration, otherwise good quality in general",4,
2,ANVERS,LAS BRISAS,2200451,MNBU0098307,AS PALINA-MAERSK BATAM,Direct customer - report will be sent later on ,4,
2,ANVERS,LAS BRISAS,2200452,MMAU1058470,AS PALINA-MAERSK BATAM,"Frequent presence of base browning, occasional mold formation, occasional mixed coloration",3,"Mould, Overmaturity"
2,ANVERS,PARISMINA,2200450,TRIU8797233,MSC VIDISHA,"Frequent presence of signs of dehydration, pitting, light mold formation",3,"Mould, Dehydration/Pitting"
2,ANVERS,PARISMINA,2200448,MSDU9848250,MSC VIDISHA,Good quality in general,4,
2,ANVERS,AGRO INDUSTRIAL,2200454,OTPU6067511,MSC VIDISHA,Good quality in general,4,
2,ANVERS,AGRO INDUSTRIAL,2200455,MEDU9821524,MSC VIDISHA,Good quality in general,4,
2,ANVERS,AGRO INDUSTRIAL,2200456,OTPU6446897,MSC VIDISHA,"Occasional presence of dehydration, isolated bruising ",4,
2,ANVERS,PARISMINA,2200447,SZLU9315866,MSC VIDISHA,"Occasional presence of elevated coloration, signs of dehydration and isolated translucency",3,"Overmaturity, Dehydration/Pitting"
2,ANVERS,PARISMINA,2200449,TTNU8710882,MSC VIDISHA,"Presence of mold formation, translucency and elevated coloration",3,"Translucency, Mould, Overmaturity"
2,DUNKERQUE,PARISMINA,565438,SEKU9284730,SAMBHAR,1 pallets claimed due to being highly affected by overmaturity and signs of dehydration ,3,"Overmaturity, Dehydration/Pitting"
2,DUNKERQUE,LAS BRISAS,565444,SEKU9067950,SAMBHAR,"4 pallets of size 6 kolor affected by overmaturity, pitting and signs of dehydration we claim these pallets",1,"Overmaturity, Dehydration/Pitting"
2,DUNKERQUE,PARISMINA,565439,CGMU5617003,SAMBHAR,Direct customer - report will be sent later on ,4,
2,DUNKERQUE,LAS BRISAS,565443,FBIU5135033,SAMBHAR,Direct customer - report will be sent later on ,4,
2,DUNKERQUE,ACON,565446,CGMU6518751,SAMBHAR,Direct customer - report will be sent later on ,4,
2,DUNKERQUE,ACON,565448,TTNU8700014,SAMBHAR,Direct customer - report will be sent later on ,4,
2,DUNKERQUE,LAS BRISAS,565442,CGMU8013157,SAMBHAR,"Evident presence of fruits affected by overmaturity, signs of dehydration, base browning and mold formation. 2 pallets claimed as of now",1,"Mould, Overmaturity, Dehydration/Pitting"
2,DUNKERQUE,AGRO INDUSTRIAL,565452,TTNU8895810,SAMBHAR,"Evident presence of overmaturity, pitting and signs of dehydration we claim 3 pallets that are highly affected.",1,"Overmaturity, Dehydration/Pitting"
2,DUNKERQUE,LAS BRISAS,565445,TEMU9413103,SAMBHAR,Frequent presence of fruits with brown lower section of the fruit,3,
2,DUNKERQUE,UPALA,565437,TEMU9891946,SAMBHAR,Good quality in general,4,
2,DUNKERQUE,AGRO INDUSTRIAL,565450,TTNU8628115,SAMBHAR,Good quality in general,4,
2,DUNKERQUE,NORTENAS,565453,AMCU9415485,SAMBHAR,Good quality in general,4,
2,DUNKERQUE,TDV,565455,TRIU8767727,SAMBHAR,Good quality in general,4,
2,DUNKERQUE,AGRO INDUSTRIAL,565449,CGMU6563792,SAMBHAR,Occasional brown leaves otherwise good quality in general,4,
2,DUNKERQUE,PARISMINA,565441,SEKU9069260,SAMBHAR,Occasional presence of elevated coloration and isolated brown leaves,4,
2,DUNKERQUE,AGRO INDUSTRIAL,565451,TEMU9867019,SAMBHAR,Occasional presence of pitting and isolated translucency,4,
2,DUNKERQUE,ACON,565447,APRU5807650,SAMBHAR,"Presence of some pallets titlted with compressed boxes, isolated mold otherwise good quality in general",4,
3,DUNKERQUE,LAS BRISAS,565482,TEMU9894122,FORT ST CHARLES,"after inspecting the test pallets we have not noted any issues and seems to be in order, isolated base browning otherwise good quality in general",4,
3,DUNKERQUE,AGRO INDUSTRIAL,565512,TTNU8920385,FORT ST CHARLES,"All pallets are undercolored, we will make reserve",2,Undercoloration
3,DUNKERQUE,LAS BRISAS,565481,CGMU9321895,FORT ST CHARLES,Direct customer - report will be sent later on ,4,
3,DUNKERQUE,UPALA,565484,FSCU5917985,FORT ST CHARLES,Direct customer - report will be sent later on ,4,
3,DUNKERQUE,ACON,565487,CGMU5254335,FORT ST CHARLES,Direct customer - report will be sent later on ,4,
3,DUNKERQUE,ACON,565488,BEAU9700110,FORT ST CHARLES,Direct customer - report will be sent later on ,4,
3,DUNKERQUE,TDV,565505,CGMU5077395,FORT ST CHARLES,"Frequent presence of fruits with old aspect, signs of overmaturity, signs of dehydration and occasional bruising",3,"Overmaturity, Dehydration/Pitting, Bruising"
3,DUNKERQUE,LAS BRISAS,565480,CGMU5200236,FORT ST CHARLES,Good quality in general,4,
3,DUNKERQUE,AGRO INDUSTRIAL,565510,IKSU4007504,FORT ST CHARLES,Good quality in general,4,
3,DUNKERQUE,AGRO INDUSTRIAL,565511,SEKU9007740,FORT ST CHARLES,Good quality in general,4,
3,DUNKERQUE,TDV,565506,APRU6120930,FORT ST CHARLES,"High presence of mixed sizes, High presence of dehydrated fruits and old aspect. Presence of low brix, Presence of translucency, We make reserve on this arrival",2,"Translucency, Overmaturity, Dehydration/Pitting"
3,DUNKERQUE,PROBIO,565499,CGMU8022436,FORT ST CHARLES,"High presence of translucency, 20% to 25% on insoected boxes. High presence of crown damages, 10% to 15% on inspected boxes. Occasional presence of underweights on size 9. We claim this arrival, we keep you updated. ",2,"Translucency, Crown Damage, Underweights"
3,DUNKERQUE,AGRO INDUSTRIAL,565508,CGMU5620460,FORT ST CHARLES,"High presence of undercoloration on kolor fruits and old aspect
High presence of translucency on kolor fruits
We claim 2 pallets size 6 kolor and one pallet size 8 kolor 
Good quality for classic fruits",3,"Translucency, Overmaturity, Undercoloration"
3,DUNKERQUE,ACON,565486,CGMU9376481,FORT ST CHARLES,Isolated decay and mold otherwise good quality in general,4,
3,DUNKERQUE,AGRO INDUSTRIAL,565509,AMCU9375839,FORT ST CHARLES,Isolated presence of elevated colorationn otherwise good quality in general,4,
3,DUNKERQUE,LAS BRISAS,565483,TTNU8164061,FORT ST CHARLES,"Isolated presence of mixed coloration, fruits with white residu and translucency",4,
3,DUNKERQUE,UPALA,565485,TEMU9580590,FORT ST CHARLES,Isolated presence of translucency and occasional mechanical damage,4,
3,DUNKERQUE,PARISMINA,565504,AMCU9354482,FORT ST CHARLES,"Occasional presence of bruising, mixed coloration and isolated translucency",3,"Overmaturity, Bruising"
3,DUNKERQUE,NORTENAS,565503,SZLU9178845,FORT ST CHARLES,Occasional presence of decay and bruising,4,
3,DUNKERQUE,TDV,565507,CGMU9359463,FORT ST CHARLES,"Occasional presence of fruits with old aspect, signs of dehydration",3,Dehydration/Pitting
3,DUNKERQUE,LAS BRISAS,565479,CGMU5095932,FORT ST CHARLES,"Presence of base browning, mold, crown damage, and beginning of crown rot. Claims to be expected.",3,Crown Damage
3,ANVERS,ACON,2200484,MNBU0247376,LEONIDIO,Direct customer - report will be sent later on ,4,
3,ANVERS,ACON,2200485,TEMU9786180,LEONIDIO,Direct customer - report will be sent later on ,4,
3,ANVERS,LAS BRISAS,2200480,MNBU0541101,LEONIDIO,Good quality in general,4,
3,ANVERS,LAS BRISAS,2200481,MNBU4122973,LEONIDIO,Good quality in general,4,
3,ANVERS,LAS BRISAS,2200482,MNBU4337293,LEONIDIO,Good quality in general,4,
3,ANVERS,LAS BRISAS,2200483,MNBU4459476,LEONIDIO,"Occasional presence of light mold formation, isolated translucency",4,
3,ANVERS,LAS BRISAS,2200488,TEMU9589880,MSC MIRELLA,Direct customer - report will be sent later on ,4,
3,ANVERS,PCC,2200508,MEDU9819640,MSC MIRELLA,Direct customer - report will be sent later on ,4,
3,ANVERS,TDV,2200509,SEGU9122689,MSC MIRELLA,Direct customer - report will be sent later on ,4,
3,ANVERS,TDV,2200511,GESU9539657,MSC MIRELLA,Direct customer - report will be sent later on ,4,
3,ANVERS,LAS BRISAS,2200491,TTNU8727648,MSC MIRELLA,"Frequent presence of mixed coloration, signs of dehydration, mold formation, occasional mold formation, we make reserves on this arrival",2,"Mould, Overmaturity, Dehydration/Pitting"
3,ANVERS,LAS BRISAS,2200486,OTPU6383567,MSC MIRELLA,"Frequent presence of translucency on kolor pallets, damaged crown, brown leaves, occasional mold formation",3,"Translucency, Mould, Crown Damage, Brown leaves"
3,ANVERS,LAS BRISAS,2200487,CXRU1474186,MSC MIRELLA,Good quality in general,4,
3,ANVERS,LAS BRISAS,2200490,TEMU9392340,MSC MIRELLA,Good quality in general,4,
3,ANVERS,LAS BRISAS,2200492,MEDU9180781,MSC MIRELLA,Good quality in general,4,
3,ANVERS,PARISMINA,2200496,OTPU6407627,MSC MIRELLA,Good quality in general,4,
3,ANVERS,PARISMINA,2200500,OTPU6018841,MSC MIRELLA,Good quality in general,4,
3,ANVERS,PARISMINA,2200502,SZLU9581573,MSC MIRELLA,Good quality in general,4,
3,ANVERS,AGRO INDUSTRIAL,2200503,MEDU9198749,MSC MIRELLA,Good quality in general,4,
3,ANVERS,NORTENAS,2200505,OTPU6108591,MSC MIRELLA,Good quality in general,4,
3,ANVERS,NORTENAS,2200506,TEMU9663653,MSC MIRELLA,Good quality in general,4,
3,ANVERS,TDV,2200510,TTNU8217304,MSC MIRELLA,Good quality in general,4,
3,ANVERS,LAS BRISAS,2200493,SZLU9263206,MSC MIRELLA,"Occasional presence of base browning, mixed coloration and isolated translucency",3,"Translucency, Overmaturity"
3,ANVERS,PARISMINA,2200501,SZLU9157647,MSC MIRELLA,"Occasional presence of intense translucency, isolated brown leaves",4,
3,ANVERS,PARISMINA,2200498,TEMU9367899,MSC MIRELLA,Occasional presence of mixed coloration and slight underweight,4,
3,ANVERS,PARISMINA,2200497,OTPU6446346,MSC MIRELLA,"Occasional presence of slight mixed coloration, light translucency",4,
3,ANVERS,PARISMINA,2200499,MSDU9822493,MSC MIRELLA,"Occasional presence of translucency, isoated elevated coloration",4,
3,ANVERS,LAS BRISAS,2200489,TEMU9386991,MSC MIRELLA,"Occasional presence of translucency, isoated mold formation",4,
3,ANVERS,NORTENAS,2200504,TTNU8727123,MSC MIRELLA,"One pallet highly affected by mold, translucency, wet peduncles, pallets tilted with compressed boxes, we make reserve",3,"Translucency, Mould, Bruising"
4,ANVERS,LAS BRISAS,2200542,HLBU9047404,CAPE SABLE,"1 pallet size 10 affected by high dehydratation
The remaining 20 pallets all good ",4,
4,ANVERS,TDV,2200572,SEGU9418290,CAPE SABLE,Direct customer - report will be sent later on ,4,
4,ANVERS,TDV,2200571,TRLU1694773,CAPE SABLE,Direct customer - report will be sent later on ,4,
4,ANVERS,LAS BRISAS,2200544,HLBU9598243,CAPE SABLE,"External condition is good 
Internal: Very low Brix on 30% of fruits inspected  (We make reserve)",3,
4,ANVERS,LAS BRISAS,2200539,HLBU9786153,CAPE SABLE,"Frequent presence of overripe issues, translucency and base browning",3,"Translucency, Overmaturity"
4,ANVERS,LAS BRISAS,2200540,FCGU6128250,CAPE SABLE,"Frequent presence of translucency, mold formation",3,"Translucency, Mould"
4,ANVERS,LAS BRISAS,2200546,UAEU1257976,CAPE SABLE,"Frequent presence of wet peduncles, mold formation, translucency",3,"Translucency, Mould"
4,ANVERS,NORTENAS,2200553,UACU4765778,CAPE SABLE,Good quality in general,4,
4,ANVERS,NORTENAS,2200554,CXRU1592872,CAPE SABLE,Good quality in general,4,
4,ANVERS,NORTENAS,2200555,HLBU9854849,CAPE SABLE,Good quality in general,4,
4,ANVERS,NORTENAS,2200556,TCLU1180055,CAPE SABLE,Good quality in general,4,
4,ANVERS,TDV,2200564,TRIU8019880,CAPE SABLE,Good quality in general,4,
4,ANVERS,TDV,2200566,HLBU9172303,CAPE SABLE,Good quality in general,4,
4,ANVERS,TDV,2200567,SEGU9231756,CAPE SABLE,Good quality in general,4,
4,ANVERS,TDV,2200569,UACU4790364,CAPE SABLE,Good quality in general,4,
4,ANVERS,TDV,2200570,CXRU1255850,CAPE SABLE,Good quality in general,4,
4,ANVERS,TDV,2200565,UAEU1256434,CAPE SABLE,Good quality in general,4,
4,ANVERS,NORTENAS,2200557,SEGU9114092,CAPE SABLE,Isolated presence of wet pdeuncles and bruising,4,
4,ANVERS,LAS BRISAS,2200545,UACU 4740764,CAPE SABLE,"Occasional presence of base browning, otherwise good quality In general",4,
4,ANVERS,TDV,2200568,TCLU1329431,CAPE SABLE,Occasional translucency otherwise good quality in general ,4,
4,ANVERS,LAS BRISAS,2200543,HLBU9218261,CAPE SABLE,"We make reserve on kolor brand:
70% of fruits are coloured 1 and 2 
Classic: all good ",4,
4,ANVERS,LAS BRISAS,2200541,HLBU9417685,CAPE SABLE,"We make reserve:
On size 8 for 80% of fruits are undercolored (for some pallets) - 20% size 5 and 6 
Presence of molds on size 5 kolor  (15%)
Classic: all good ",3,"Mould, Undercoloration"
4,ANVERS,PCC,2200551,HLBU9783494,CAPE SABLE-K&N,"Occasional presence of brown leaves, translucency and underweights noted, claims to be expected",4,
4,ANVERS,PCC,2200550,HLBU9320329,CAPE SABLE-K&N,"Occasional presence of translucency and signs of dehydration, claims to be expected.",4,
4,ANVERS,PCC,2200552,HLBU9672654,CAPE SABLE-K&N,"Occasional presence of translucency, claims to be expected.",4,
4,DUNKERQUE,TDV,565552,CGMU5080300,FORT DE FRANCE,"1 pallet size 8 total loss due to old fruits and bruises 
3 pallets arrived sensitive 20% of fruits with external overmaturity 

The remaining 17 pallets are all good ",1,"Overmaturity, Bruising"
4,DUNKERQUE,TDV,565555,TCLU1386745,FORT DE FRANCE,"Average of 15% of fruits inspected were undecoloration
The rest is correct in general ",3,Undercoloration
4,DUNKERQUE,LAS BRISAS,565549,CGMU5143820,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,TDV,565554,SZLU9618311,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,ACON,565556,AMCU9303628,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,ACON,565557,SEKU9137370,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,ACON,565558,CGMU5250896,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,ACON,565561,AMCU9403606,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,AGRO INDUSTRIAL,565571,CGMU6990789,FORT DE FRANCE,Direct customer - report will be sent later on ,4,
4,DUNKERQUE,AGRO INDUSTRIAL,565569,SZLU9679810,FORT DE FRANCE,"Frequent presece of pitting, signs of dehydration and occasional overmaturity",3,"Overmaturity, Dehydration/Pitting"
4,DUNKERQUE,VISA,565564,CXRU1385113,FORT DE FRANCE,"Good quality 
Missing temperature recorder ",4,
4,DUNKERQUE,LAS BRISAS,565550,CGMU9304780,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,LAS BRISAS,565551,TCLU1215399,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,ACON,565559,SEKU9047002,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,NORTENAS,565562,CGMU5063046,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,VISA,565565,CGMU5629600,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,AGRO INDUSTRIAL,565567,BMOU9773240,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,AGRO INDUSTRIAL,565568,CGMU5436005,FORT DE FRANCE,Good quality in general,4,
4,DUNKERQUE,ACON,565560,CGMU5288119,FORT DE FRANCE,Isolated presence of brown leaves and damaged crowns,4,
4,DUNKERQUE,AGRO INDUSTRIAL,565572,BMOU9626954,FORT DE FRANCE,"Occasional presence of pitting, signs of dehydration and overmaturity on crownless fruits",3,"Overmaturity, Dehydration/Pitting"
4,DUNKERQUE,AGRO INDUSTRIAL,565570,CGMU6949928,FORT DE FRANCE,Occasional presence of signs of dehydration and signs of overmaturity,3,"Overmaturity, Dehydration/Pitting"
4,DUNKERQUE,TDV,565553,TCLU1157184,FORT DE FRANCE,"Occasional presence of signs of old aspect, bruising ",3,"Overmaturity, Bruising"
4,DUNKERQUE,ACON,565489,TEMU9205795.SZLU9018390,FORT ST CHARLES,Delayed container supposed to arrive on week 3 instead arrived on 4,4,
4,ANVERS,ACON,2200560,MNBU3187727,MAERSK BAHAMAS,Direct customer - report will be sent later on ,4,
4,ANVERS,ACON,2200561,MNBU9017800,MAERSK BAHAMAS,Direct customer - report will be sent later on ,4,
4,ANVERS,AGRO INDUSTRIAL,2200548,MEDU9806474,MSC VAISHNAVI,Good quality in general,4,
4,ANVERS,AGRO INDUSTRIAL,2200549,MEDU9802205,MSC VAISHNAVI,Good quality in general,4,
5,ANVERS,TDV,2200597,GESU9335843,AS PENELOPE,Direct customer - report will be sent later on ,4,
